Strategy Name in AI	Translated Strategy Name	Translated Strategy Report
GargWyrm	Gargoyles and Wyrms	Ich baue Gargoyles and Wyrms
Aboms	Monstrositäten	Ich baue massiv Monstrositäten
MeatFiends	Fleischwagen und Gruftbestien	Ich baue Gruftbestien und Fleischwagen
MassDestroyer	Zerstörer	Ich baue massiv Zerstörer
CryptMix	Einheitenmix aus Gruft	Ich mixe Einheiten aus der Gruft
TempleMix	Einheitenmix aus Tempel	Ich mixe Einheiten aus dem Tempel der Verdammten
UAntiTower	Anti Türme	Ich baue massiv Belagerungswaffen
airair	Luft-Luft	Ich baue Luft-Luft-Einheiten
airground	Luft-Boden	Ich baue Luft-Boden-Einheiten
groundair	Boden-Luft	Ich baue Boden-Luft-Einheiten
groundground	Boden-Boden	Ich baue Boden-Boden-Einheiten
farm	Farmen	Ich baue Farmen
guard	Türme	Ich baue Türme
